MA0161.3 NFIC	Cluster_332
MA0671.2 NFIX	Cluster_332
MA0739.2 Hic1	Cluster_333
MA0738.2 HIC2	Cluster_334
MA0774.1 MEIS2	Cluster_335
MA0775.2 MEIS3	Cluster_335
MA0498.3 MEIS1	Cluster_336
MA2324.1 BCL11A	Cluster_337
MA1964.2 SMAD2	Cluster_338
MA1153.2 Smad4	Cluster_339
MA0442.3 SOX10	Cluster_34
MA0092.2 Hand1::Tcf3	Cluster_340
MA2341.1 FEZF2	Cluster_341
MA2125.1 Zfp809	Cluster_342
MA1656.2 ZNF449	Cluster_343
MA1976.2 ZNF320	Cluster_344
MA1712.2 ZNF454	Cluster_345
MA0116.1 Znf423	Cluster_346
MA0163.1 PLAG1	Cluster_347
MA1987.2 ZNF701	Cluster_348
MA0003.5 TFAP2A	Cluster_349
MA0812.2 TFAP2B	Cluster_349
MA0814.3 TFAP2C	Cluster_349
MA1569.2 TFAP2E	Cluster_349
MA0869.3 Sox11	Cluster_35
MA1581.2 ZBTB6	Cluster_350
MA1637.2 EBF3	Cluster_351
MA1604.2 Ebf2	Cluster_351
MA0154.5 EBF1	Cluster_352
MA2122.1 Ebf4	Cluster_352
MA0813.1 TFAP2B	Cluster_353
MA0815.1 TFAP2C	Cluster_353
MA0872.1 TFAP2A	Cluster_353
MA0810.2 TFAP2A	Cluster_354
MA0811.2 TFAP2B	Cluster_354
MA0524.3 TFAP2C	Cluster_354
MA0155.1 INSM1	Cluster_355
MA1102.3 CTCFL	Cluster_356
MA0139.2 CTCF	Cluster_357
MA1982.2 ZNF574	Cluster_358
MA1713.2 ZNF610	Cluster_359
MA1603.2 Dmrt1	Cluster_36
MA1529.2 NHLH2	Cluster_360
MA1721.2 ZNF93	Cluster_361
MA2121.1 ZNF213	Cluster_362
MA0506.3 Nrf1	Cluster_363
MA1710.2 ZNF257	Cluster_364
MA1981.2 ZNF530	Cluster_365
MA1715.1 ZNF707	Cluster_366
MA0696.1 ZIC1	Cluster_367
MA0751.2 ZIC4	Cluster_367
MA1584.2 ZIC5	Cluster_367
MA0736.1 GLIS2	Cluster_368
MA0737.1 GLIS3	Cluster_368
MA0735.2 GLIS1	Cluster_368
MA1491.3 GLI3	Cluster_369
MA1588.1 ZNF136	Cluster_37
MA1587.1 ZNF135	Cluster_370
MA1596.1 ZNF460	Cluster_371
MA0146.3 Zfx	Cluster_372
MA1548.2 PLAGL2	Cluster_373
MA1986.2 ZNF692	Cluster_374
MA1727.2 ZNF417	Cluster_375
MA2126.1 Zfp961	Cluster_375
MA1615.2 Plagl1	Cluster_376
MA2099.1 ZNF770	Cluster_377
MA1990.2 Gli1	Cluster_378
MA0734.4 Gli2	Cluster_378
MA0694.2 ZBTB7B	Cluster_379
MA1729.2 ZNF680	Cluster_38
MA0695.2 ZBTB7C	Cluster_380
