name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
ETV5::FOXO1	MA1947.2	205	1.55608	18	0.33939	2	0.02776	0.00150493
CREB1	MA0018.5	293	1.80065	18	0.37578	2	0.01997	0.00199801
MTF1	MA0863.1	149	1.79184	11	0.40902	2	0.03947	0.00279289
TAL1::TCF3	MA0091.2	157	1.56051	5	0.36845	2	-0.02571	0.00315223
KLF3	MA1516.2	163	2.109	18	0.5754	5	-0.02607	0.00332729
ZFP42	MA1651.2	207	1.69083	12	0.41647	5	-0.01871	0.00514627
ZBTB12	MA1649.2	72	1.75334	6	0.34767	1	0.02816	0.00515337
SMAD2	MA1964.2	342	1.88889	33	0.4239	6	0.01546	0.00529322
ZKSCAN3	MA1973.2	100	1.97466	6	0.50371	3	0.03764	0.00718936
PBX1	MA0070.2	131	1.71804	9	0.43191	3	-0.02728	0.00873915
ZBTB7C	MA0695.2	144	1.80819	11	0.43149	5	0.03699	0.0167537
Ptf1A	MA1618.2	270	1.74264	11	0.36795	4	0.0195	0.0199715
ZNF324	MA1977.2	123	1.48504	7	0.41054	3	-0.02787	0.0263814
ZKSCAN1	MA1585.2	101	1.65873	8	0.4046	1	-0.03643	0.0303683
THRB	MA1575.2	52	2.04675	6	0.54519	1	-0.03213	0.0680674
ZFP14	MA1972.1	328	1.80377	18	0.37419	2	0.01279	0.0806686
Foxq1	MA0040.2	160	1.53869	4	0.29612	1	0.01288	0.0831034
SATB1	MA1963.2	64	1.51477	4	0.32843	1	-0.0349	0.149934
PHOX2B	MA0681.3	100	1.23393	4	0.22183	0	-0.00579	0.241565
DPRX	MA1480.2	101	1.64133	8	0.36116	0	-0.02243	0.358142
Nr2e3	MA0164.2	159	1.52768	6	0.2999	1	0.01102	0.366055
IKZF1	MA1508.2	262	1.58088	16	0.4042	4	-0.01011	0.534782
